coef,exp(coef),se(coef),z,Pr(>|z|),feature
-74.5104062359956,4.3706067016819e-33,20.2752962758915,-3.67493550881388,0.000237909501952979,wavelet_HHH_glcm_ClusterShade
-16.5276214860027,6.63965004444563e-08,5.34444304375134,-3.09248715922356,0.00198486820668863,wavelet_HHH_firstorder_Skewness
0.113277768045705,1.11994297411916,0.043192801677144,2.62260755605598,0.00872597203103158,original_gldm_DependenceVariance
1.48945475393314,4.43467686956309,0.573703735267598,2.59620891824662,0.0094258733324864,wavelet_HLH_glcm_ClusterShade
0.0295184729408627,1.02995846165791,0.0114678346455757,2.57402324441876,0.0100523519522415,wavelet_LHL_gldm_LargeDependenceEmphasis
0.180087314875058,1.19732190257015,0.0701011333176873,2.5689643854819,0.0102002940021435,wavelet_LLL_gldm_DependenceVariance
0.196856424235914,1.21756921472549,0.0872669661464328,2.25579543931425,0.0240834451031437,wavelet_HLL_gldm_DependenceVariance
2.17069288158273,8.76435459729453,0.967737840934965,2.24305880142658,0.0248930229185815,wavelet_LHL_glrlm_RunVariance
-15.1464076876107,2.64240097307246e-07,7.00044395256801,-2.16363530516582,0.0304923497306089,original_gldm_DependenceNonUniformityNormalized
0.908639967290241,2.48094607004856,0.426745454225355,2.12923174293594,0.0332350918662185,wavelet_LHL_glrlm_LongRunEmphasis
